,Ville,Annee,A1,B1,C1,D1,A2,B2,C2,D2
0,MARNES-LA-COQUETTE,2011.0,1062.0,785.0,1022.0,288.0,1282.0,1000.0,630.0,634.0
0,MARNES-LA-COQUETTE,2012.0,1085.0,780.0,202.0,1415.0,1628.0,1301.0,730.0,699.0
0,MARNES-LA-COQUETTE,2013.0,928.0,835.0,913.0,401.0,1554.0,1239.0,682.0,734.0
0,MARNES-LA-COQUETTE,2014.0,732.0,637.0,1114.0,662.0,759.0,619.0,376.0,366.0
0,MARNES-LA-COQUETTE,2015.0,703.0,589.0,481.0,567.0,768.0,628.0,372.0,342.0
0,MEUDON,2011.0,1357.0,1205.0,614.0,607.0,1431.0,1290.0,504.0,507.0
0,MEUDON,2012.0,1403.0,1308.0,625.0,525.0,1437.0,1307.0,556.0,538.0
0,MEUDON,2013.0,1344.0,1236.0,312.0,401.0,1471.0,1350.0,516.0,548.0
0,MEUDON,2014.0,1279.0,1221.0,277.0,266.0,1469.0,1369.0,514.0,492.0
0,MEUDON,2015.0,1292.0,1198.0,424.0,404.0,1481.0,1358.0,492.0,460.0
0,MONTROUGE,2011.0,1603.0,1354.0,1066.0,896.0,1412.0,1237.0,534.0,515.0
0,MONTROUGE,2012.0,1476.0,1308.0,825.0,788.0,1531.0,1387.0,583.0,508.0
0,MONTROUGE,2013.0,1585.0,1438.0,672.0,427.0,1544.0,1408.0,428.0,459.0
0,MONTROUGE,2014.0,1487.0,1360.0,404.0,400.0,1550.0,1448.0,513.0,538.0
0,MONTROUGE,2015.0,1404.0,1310.0,565.0,357.0,1603.0,1457.0,610.0,512.0
0,NANTERRE,2011.0,2134.0,2012.0,1154.0,1001.0,1467.0,1344.0,576.0,584.0
0,NANTERRE,2012.0,2126.0,1990.0,881.0,882.0,1491.0,1370.0,618.0,584.0
0,NANTERRE,2013.0,2214.0,2081.0,964.0,948.0,1510.0,1400.0,575.0,603.0
0,NANTERRE,2014.0,2194.0,2114.0,668.0,694.0,1554.0,1461.0,564.0,543.0
0,NANTERRE,2015.0,2292.0,2179.0,644.0,677.0,1580.0,1470.0,535.0,515.0
