l_pre_spe,dpt,rec_mon,dep_mon,taux
04-TOTAL Chirurgie,54,200754.32999999984,39575.60999999999,0.19713452755913172
04-TOTAL Chirurgie,55,107656.58999999985,18588.160000000003,0.17266160854621188
04-TOTAL Chirurgie,56,171181.65000000002,22812.129999999997,0.13326270660435854
04-TOTAL Chirurgie,57,229862.2699999998,47020.80000000001,0.2045607571873368
04-TOTAL Chirurgie,58,142670.96999999988,14857.720000000003,0.10413975597137956
04-TOTAL Chirurgie,59,718272.0500000026,123068.33999999997,0.1713394527881177
04-TOTAL Chirurgie,60,207263.07999999932,38124.00999999998,0.18394018847929938
04-TOTAL Chirurgie,61,139105.99999999985,14941.990000000003,0.10741441778212313
04-TOTAL Chirurgie,62,411918.49000000174,49337.870000000024,0.11977580807309673
04-TOTAL Chirurgie,63,197406.37999999992,37388.45999999999,0.1893984378823015
04-TOTAL Chirurgie,64,344063.70000000036,49816.63999999998,0.1447890027340865
04-TOTAL Chirurgie,65,117724.61,13465.929999999998,0.11438500412105845
04-TOTAL Chirurgie,66,221612.99999999997,30354.579999999998,0.13697111631537862
04-TOTAL Chirurgie,67,267365.9199999997,55628.74,0.2080621943140699
04-TOTAL Chirurgie,68,196026.2699999998,49302.330000000016,0.2515087901228752
04-TOTAL Chirurgie,69,347492.1400000008,68254.56999999998,0.19642047155368697
04-TOTAL Chirurgie,70,119720.27,12523.860000000004,0.10460935311956784
04-TOTAL Chirurgie,71,195042.3499999998,34445.1,0.1766031838726309
04-TOTAL Chirurgie,72,185318.8600000002,19729.329999999994,0.10646153338089806
04-TOTAL Chirurgie,73,158978.56,24402.429999999997,0.1534951002198032
04-TOTAL Chirurgie,74,166561.32999999984,39207.64999999997,0.23539467414195125
04-TOTAL Chirurgie,75,406971.4700000031,158115.46000000008,0.3885173081051575
04-TOTAL Chirurgie,76,400247.9200000012,54261.910000000025,0.13557074825023416
04-TOTAL Chirurgie,77,273440.3199999996,61602.53000000002,0.22528692915514476
04-TOTAL Chirurgie,78,276937.11999999953,64761.49999999994,0.2338491134738458
04-TOTAL Chirurgie,79,131399.8099999999,17902.95999999999,0.13624799000850915
04-TOTAL Chirurgie,80,169607.76000000024,25038.889999999992,0.1476282099356772
04-TOTAL Chirurgie,81,181020.48999999996,19082.43999999998,0.10541591175672978
04-TOTAL Chirurgie,82,156985.94000000012,15356.680000000002,0.0978220087735245
04-TOTAL Chirurgie,83,302666.0299999995,51065.12999999998,0.16871774476970564
04-TOTAL Chirurgie,84,224679.85999999972,34097.75999999998,0.15176153305418663
04-TOTAL Chirurgie,85,184227.56000000014,19376.280000000013,0.10517579454452959
04-TOTAL Chirurgie,86,166234.52,25355.679999999993,0.15252957087372704
04-TOTAL Chirurgie,87,183057.28999999972,22180.71999999999,0.12116818729262312
04-TOTAL Chirurgie,88,159164.19000000024,25841.47999999999,0.16235737448228743
04-TOTAL Chirurgie,89,150200.2599999999,22884.979999999992,0.1523631184127112
04-TOTAL Chirurgie,90,97547.71999999993,15958.390000000005,0.16359572525119004
04-TOTAL Chirurgie,91,280046.46999999956,67426.95000000001,0.24077057639755328
04-TOTAL Chirurgie,92,286991.03999999963,103101.03000000004,0.35924825388276993
04-TOTAL Chirurgie,93,303283.72999999975,58686.06000000002,0.19350217039338072
04-TOTAL Chirurgie,94,310036.60999999987,81943.55999999998,0.264302851201992
04-TOTAL Chirurgie,95,253352.9099999996,56067.50999999997,0.22130201701650107
04-TOTAL Chirurgie,971,178686.50999999975,32639.780000000013,0.18266504841355993
04-TOTAL Chirurgie,972,144820.7000000001,34411.169999999984,0.2376122336102502
04-TOTAL Chirurgie,973,84926.40999999993,5791.260000000004,0.06819150838943985
04-TOTAL Chirurgie,974,238468.17000000013,28363.91,0.11894212129023335
04-TOTAL Chirurgie,976,16312.43,3297.9700000000003,0.20217527370232394
05-Dermatologie et vénérologie,01,60257.50999999999,17592.560000000012,0.29195630552938573
05-Dermatologie et vénérologie,02,94255.9899999999,10989.350000000006,0.11659046814955758
05-Dermatologie et vénérologie,03,51245.739999999976,8066.909999999998,0.15741620669347348
05-Dermatologie et vénérologie,04,48357.329999999965,8772.020000000004,0.18140000698963343
05-Dermatologie et vénérologie,05,39785.79000000002,5274.45,0.1325712019291309
05-Dermatologie et vénérologie,06,125605.59999999998,32385.320000000032,0.25783340870152316
05-Dermatologie et vénérologie,07,51844.14999999993,7933.619999999999,0.1530282587331456
05-Dermatologie et vénérologie,08,45940.240000000005,7632.500000000001,0.16613975024945452
05-Dermatologie et vénérologie,09,34001.67999999999,990.0299999999999,0.029117090684930864
05-Dermatologie et vénérologie,10,55067.05000000002,12718.590000000002,0.23096552293976158
05-Dermatologie et vénérologie,11,72754.93999999999,8423.150000000001,0.11577426907368768
05-Dermatologie et vénérologie,12,39533.8,1324.6500000000003,0.03350677142091072
05-Dermatologie et vénérologie,13,220221.52000000028,41358.34999999999,0.18780339905019244
05-Dermatologie et vénérologie,14,85197.06000000004,19709.360000000026,0.2313384992392932
05-Dermatologie et vénérologie,15,46790.419999999955,1266.5800000000004,0.027069216305389044
05-Dermatologie et vénérologie,16,53361.32999999996,4122.440000000001,0.07725519585062825
05-Dermatologie et vénérologie,17,73935.70999999995,11982.050000000001,0.16206039003344946
05-Dermatologie et vénérologie,18,43536.390000000014,7274.060000000002,0.16707999905366522
05-Dermatologie et vénérologie,19,41430.05,3097.8600000000006,0.0747732624025315
05-Dermatologie et vénérologie,21,90815.25999999991,17707.669999999987,0.1949856224603663
05-Dermatologie et vénérologie,22,62777.960000000014,4061.4300000000007,0.06469515734503001
05-Dermatologie et vénérologie,23,26501.220000000005,2847.29,0.10743995936790833
05-Dermatologie et vénérologie,24,64764.37999999995,12742.290000000006,0.19674842868873318
05-Dermatologie et vénérologie,25,92695.77999999993,13343.140000000007,0.14394549568491702
05-Dermatologie et vénérologie,26,70020.17999999993,13628.249999999995,0.19463317575019098
05-Dermatologie et vénérologie,27,78314.65000000001,19081.68,0.24365402897159086
05-Dermatologie et vénérologie,28,75649.54999999994,9502.660000000002,0.12561423035563343
05-Dermatologie et vénérologie,29,96379.88000000002,10126.190000000006,0.10506539331653042
05-Dermatologie et vénérologie,2A,50396.71999999998,7768.009999999998,0.15413721369168473
05-Dermatologie et vénérologie,2B,38595.129999999976,3762.08,0.09747551051130032
05-Dermatologie et vénérologie,30,91609.05000000009,20710.460000000006,0.22607438893864729
05-Dermatologie et vénérologie,31,133627.25999999992,12518.770000000006,0.0936842527490275
05-Dermatologie et vénérologie,32,38864.04,2931.0500000000006,0.0754180471201656
05-Dermatologie et vénérologie,33,151377.7199999999,20154.690000000006,0.1331417199307799
05-Dermatologie et vénérologie,34,111145.05999999992,19121.72999999998,0.1720430039805637
05-Dermatologie et vénérologie,35,101732.0400000002,13111.000000000004,0.1288777852090647
05-Dermatologie et vénérologie,36,43995.25000000001,7152.149999999998,0.16256641341963046
05-Dermatologie et vénérologie,37,89320.47999999994,11892.670000000006,0.133146060119695
05-Dermatologie et vénérologie,38,125199.35000000003,28826.010000000013,0.2302408918257164
05-Dermatologie et vénérologie,39,50347.11,5888.2699999999995,0.11695348551287253
05-Dermatologie et vénérologie,40,58349.87999999994,9344.080000000002,0.16013880405580974
05-Dermatologie et vénérologie,41,52175.83000000003,7837.389999999999,0.15021112265966818
05-Dermatologie et vénérologie,42,92671.02000000003,22065.399999999994,0.2381046415589252
05-Dermatologie et vénérologie,43,47841.02999999998,4924.660000000002,0.10293800112581196
05-Dermatologie et vénérologie,44,111570.47000000016,18998.86000000002,0.17028573958682788
05-Dermatologie et vénérologie,45,74278.76000000001,18685.450000000004,0.2515584535875397
05-Dermatologie et vénérologie,46,32481.289999999986,1538.0499999999997,0.047351875495092725
05-Dermatologie et vénérologie,47,46168.569999999985,4485.579999999999,0.09715657210089029
05-Dermatologie et vénérologie,48,21166.739999999994,1692.11,0.07994192776025029
05-Dermatologie et vénérologie,49,72506.90999999999,8661.329999999996,0.11945523536998057
05-Dermatologie et vénérologie,50,75673.86999999994,5740.659999999998,0.0758605315150395
05-Dermatologie et vénérologie,51,81089.13999999998,14542.960000000003,0.17934534760141746
05-Dermatologie et vénérologie,52,49269.640000000014,5738.789999999999,0.11647720584116299
05-Dermatologie et vénérologie,53,57567.65000000001,3099.210000000001,0.05383596516446303
05-Dermatologie et vénérologie,54,108750.56999999998,13317.150000000009,0.12245590988626553
05-Dermatologie et vénérologie,55,37967.66,5475.129999999998,0.14420509454625324
05-Dermatologie et vénérologie,56,81577.1699999999,7299.299999999995,0.08947723977186268
05-Dermatologie et vénérologie,57,124619.61000000009,22178.719999999994,0.17797134816904
05-Dermatologie et vénérologie,58,33124.729999999996,2819.9999999999995,0.08513276938408253
05-Dermatologie et vénérologie,59,338172.6900000008,52851.04999999999,0.15628420497231713
05-Dermatologie et vénérologie,60,75760.62000000002,17155.320000000007,0.22644112468984548
05-Dermatologie et vénérologie,61,36659.35000000001,6026.520000000002,0.1643924401278255
05-Dermatologie et vénérologie,62,162974.82000000024,23467.36000000001,0.1439937776890932
05-Dermatologie et vénérologie,63,82674.0699999999,12462.510000000007,0.150742669376263
05-Dermatologie et vénérologie,64,127859.61999999994,15883.410000000005,0.12422538092949137
05-Dermatologie et vénérologie,65,44798.61,8993.300000000001,0.2007495321841459
05-Dermatologie et vénérologie,66,60941.449999999975,4452.539999999999,0.07306258712255781
05-Dermatologie et vénérologie,67,134409.52000000037,34535.86000000004,0.25694504377368466
05-Dermatologie et vénérologie,68,95084.79000000007,23902.470000000012,0.2513805835822953
05-Dermatologie et vénérologie,69,156520.93999999983,48962.02,0.31281450264737776
05-Dermatologie et vénérologie,70,67882.96000000006,2484.3500000000013,0.03659754966489379
05-Dermatologie et vénérologie,71,72600.57999999991,12773.240000000003,0.17593853933398354
05-Dermatologie et vénérologie,72,53086.86999999994,8910.730000000003,0.16785186242850658
05-Dermatologie et vénérologie,73,54520.41999999999,8103.489999999998,0.1486322005589832
05-Dermatologie et vénérologie,74,87428.35000000012,30183.20000000001,0.3452335541045893
05-Dermatologie et vénérologie,75,269743.7099999999,124433.67,0.4613033238105906
05-Dermatologie et vénérologie,76,150537.98999999993,28004.50000000003,0.1860294534289985
05-Dermatologie et vénérologie,77,105367.67000000004,32076.240000000016,0.3044220300211631
05-Dermatologie et vénérologie,78,114062.48999999986,46994.52999999997,0.41200687447731527
05-Dermatologie et vénérologie,79,51138.21999999995,3783.0299999999993,0.07397656781952917
05-Dermatologie et vénérologie,80,76064.23999999998,15047.269999999997,0.1978231820892446
05-Dermatologie et vénérologie,81,64491.25999999996,3011.6000000000004,0.04669780060119778
05-Dermatologie et vénérologie,82,38556.479999999996,3657.8000000000006,0.09486861871208163
05-Dermatologie et vénérologie,83,133398.52000000005,24380.389999999992,0.182763571889703
05-Dermatologie et vénérologie,84,88946.48999999982,19082.149999999987,0.2145351660307228
05-Dermatologie et vénérologie,85,76184.32999999994,10798.889999999996,0.14174686579247994
05-Dermatologie et vénérologie,86,65974.63,9698.139999999998,0.1469980202996212
05-Dermatologie et vénérologie,87,65614.19000000003,14051.21,0.21414895162159273
05-Dermatologie et vénérologie,88,57736.490000000005,4852.300000000001,0.08404217159719964
05-Dermatologie et vénérologie,89,57884.27999999995,11468.180000000008,0.198122529985689
05-Dermatologie et vénérologie,90,41644.31999999996,7031.42,0.1688446347545117
05-Dermatologie et vénérologie,91,113231.15000000011,37029.13,0.32702246687417696
05-Dermatologie et vénérologie,92,149402.89000000013,61421.00000000005,0.41110985202495076
05-Dermatologie et vénérologie,93,115764.64000000003,41753.770000000004,0.3606780965241199
05-Dermatologie et vénérologie,94,148390.7500000001,47660.610000000015,0.3211831600015499
05-Dermatologie et vénérologie,95,119523.95000000019,38350.42999999997,0.32085979420860766
05-Dermatologie et vénérologie,971,80583.35999999984,14243.880000000001,0.1767595692212391
05-Dermatologie et vénérologie,972,60260.51,7839.719999999991,0.1300971399014046
05-Dermatologie et vénérologie,973,19847.940000000017,6451.6600000000035,0.3250543885158862
05-Dermatologie et vénérologie,974,115309.52000000006,8522.150000000001,0.07390673380654084
05-Dermatologie et vénérologie,976,4048.1999999999994,712.73,0.17606096536732377
06-TOTAL Radiologie,01,120134.40000000001,20144.51999999999,0.1676831948217995
06-TOTAL Radiologie,02,131249.43000000005,8249.56,0.06285406344240882
