CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
01135,82,01,013,0114,8219,240100750,Crozet,700,1826.0,,,29248,,,,,,29248,,,,,,,,,
01136,82,01,012,0127,0053,240100826,Cruzilles-les-Mepillat,315,849.5,,,19916,,,,,,19916,,,,,,,,,
01138,82,01,011,0131,8216,240100438,Culoz,1215,2790.5,54.3,11367,17041,22772,7350,9718,12588,14719,17041,19264,21620,24765,31184,4.2,62.2,30.2,2.5,5.0
01139,82,01,012,0129,8202,240100339,Curciat-Dongalon,193,452.5,,,15858,,,,,,15858,,,,,,,,,
01140,82,01,012,0121,8202,240100156,Curtafond,260,701.0,,,20610,,,,,,20610,,,,,,,,,
01141,82,01,011,0136,8216,240100743,Cuzieu,166,422.0,,,20616,,,,,,20616,,,,,,,,,
01142,82,01,012,0120,8214,240100610,Dagneux,1556,4243.5,70.2,15459,21027,27473,10783,14101,16851,18817,21027,23333,26124,29303,36264,3.4,73.1,19.7,3.2,4.0
01143,82,01,013,0114,8219,240100750,Divonne-les-Bains,3467,7994.5,62.2,18746,34228,59007,8085,15633,21348,27368,34228,41791,52025,65846,90342,11.2,79.3,11.7,4.3,4.7
01144,82,01,012,0102,0053,240100818,Dommartin,341,890.0,,,18136,,,,,,18136,,,,,,,,,
01145,82,01,012,0125,8214,240100628,Dompierre-sur-Veyle,466,1189.0,,,18213,,,,,,18213,,,,,,,,,
01146,82,01,012,0110,8213,240100644,Dompierre-sur-Chalaronne,153,428.0,,,20306,,,,,,20306,,,,,,,,,
01147,82,01,012,0111,8202,240100651,Domsure,185,463.0,,,16316,,,,,,16316,,,,,,,,,
01148,82,01,014,0123,8203,240100172,Dortan,788,1987.5,61.7,13819,19259,26322,8947,12578,15141,17346,19259,21325,24435,28727.5,35353,4.0,68.6,22.0,3.2,6.2
01149,82,01,011,0101,8201,240100883,Douvres,373,1016.5,,,22736,,,,,,22736,,,,,,,,,
01150,82,01,012,0107,8202,240100636,Drom,75,206.0,,,21118,,,,,,21118,,,,,,,,,
01151,82,01,012,0125,8201,240100842,Druillat,473,1170.5,,,20277,,,,,,20277,,,,,,,,,
01152,82,01,014,0123,8203,240100172,Echallon,309,805.0,,,22191,,,,,,22191,,,,,,,,,
01153,82,01,013,0114,8219,240100750,Echenevex,562,1669.5,,,36168,,,,,,36168,,,,,,,,,
01154,82,01,012,0121,8202,240100156,Etrez,281,785.5,,,17169,,,,,,17169,,,,,,,,,
01155,82,01,011,0128,8201,240100396,Evosges,65,141.5,,,17709,,,,,,17709,,,,,,,,,
01156,82,01,012,0119,8201,240100883,Faramans,270,742.5,,,22723,,,,,,22723,,,,,,,,,
01157,82,01,012,0130,8213,240100735,Fareins,801,2149.0,,,22445,,,,,,22445,,,,,,,,,
01158,82,01,013,0112,8219,240100750,Farges,314,799.0,,,26394,,,,,,26394,,,,,,,,,
01159,82,01,012,0102,0053,240100818,Feillens,1317,3260.0,62.1,14383,19309,26263,10435,13131,15457,17308,19309,21850,24051,28319.5,34351,3.3,63.8,20.8,7.0,8.4
01160,82,01,013,0113,8219,240100750,Ferney-Voltaire,3465,7328.0,44.2,7786,19973.5,38911,2,5538,10072,14854,19973.5,26652,34652,43788,61504,30752.0,75.0,18.1,1.8,5.1
01162,82,01,011,0136,8216,240100354,Flaxieu,,,,,,,,,,,,,,,,,,,,
01163,82,01,012,0121,8202,240100156,Foissiat,785,1939.0,,,18355.5,,,,,,18355.5,,,,,,,,,
01165,82,01,012,0130,8213,240100727,Francheleins,484,1402.0,,,20961,,,,,,20961,,,,,,,,,
01166,82,01,012,0134,8213,240100735,Frans,711,2013.0,,,23078,,,,,,23078,,,,,,,,,
01167,82,01,012,0132,0053,240100594,Garnerans,247,685.0,,,20644,,,,,,20644,,,,,,,,,
01169,82,01,012,0132,8213,240100727,Genouilleux,210,614.0,,,21337,,,,,,21337,,,,,,,,,
01170,82,01,014,0122,8203,240100909,Beard-Geovreissiat,309,962.0,,,18921,,,,,,18921,,,,,,,,,
01171,82,01,014,0141,8203,240100172,Geovreisset,322,959.0,,,20827,,,,,,20827,,,,,,,,,
01172,82,01,012,0133,8202,240100636,Germagnat,61,143.5,,,16660,,,,,,16660,,,,,,,,,
01173,82,01,013,0114,8219,240100750,Gex,4268,9919.0,59.6,15077,26917,42565,6786,12579,17239,22140,26917,32809,38903,47649,60839,9.0,84.5,9.6,2.9,3.1
01174,82,01,014,0103,8219,240100891,Giron,62,155.0,,,17963,,,,,,17963,,,,,,,,,
01175,82,01,012,0126,0053,240100685,Gorrevod,317,810.5,,,17882,,,,,,17882,,,,,,,,,
01176,82,01,014,0106,8203,240100370,Le Grand-Abergement,,,,,,,,,,,,,,,,,,,,
01177,82,01,012,0107,8202,240100636,Grand-Corent,69,162.0,,,19671,,,,,,19671,,,,,,,,,
01179,82,01,012,0127,0053,240100826,Grieges,769,1966.0,,,18786,,,,,,18786,,,,,,,,,
01180,82,01,013,0114,8219,240100750,Grilly,296,732.5,,,36161,,,,,,36161,,,,,,,,,
