,exe_spe,departement,dep_mon,densite
357,4,72,2305,18.000000000000004
358,4,73,2608,21.7
359,4,74,3409,17.4
360,4,75,8774,65.6
361,4,76,5389,23.200000000000006
362,4,77,5112,11.7
363,4,78,5670,15.399999999999995
364,4,79,1936,14.2
365,4,8,1516,14.0
366,4,80,2499,24.5
367,4,81,1967,17.400000000000002
368,4,82,1667,15.7
369,4,83,5398,22.4
370,4,84,3247,22.8
371,4,85,2246,11.900000000000002
372,4,86,2196,22.8
373,4,87,2059,28.2
374,4,88,2065,14.6
375,4,89,2167,12.1
376,4,9,1389,13.8
377,4,90,1423,15.2
378,4,91,5073,13.300000000000002
379,4,92,6754,21.7
380,4,93,4731,14.000000000000002
381,4,94,5125,21.5
382,4,95,4692,14.8
383,4,97,10696,13.5
384,5,1,2190,2.2
385,5,10,1372,3.2
386,5,11,1223,4.3
387,5,12,518,2.5
388,5,13,5661,10.1
389,5,14,2226,5.8
390,5,15,354,4.8
391,5,16,865,3.7
392,5,17,1824,4.2
393,5,18,839,1.6
394,5,19,620,3.4
395,5,2,1630,3.0
396,5,20,1899,4.4
397,5,21,2193,8.6
398,5,22,899,2.8
399,5,23,509,0.8
400,5,24,1384,4.3
401,5,25,2175,8.800000000000002
402,5,26,1852,4.0
403,5,27,2347,2.8
404,5,28,1304,3.0
405,5,29,1565,5.7
406,5,3,1077,3.8
407,5,30,2699,5.7
408,5,31,2608,10.3
409,5,32,528,2.6
410,5,33,3563,9.3
411,5,34,2500,8.800000000000002
412,5,35,2154,6.2
413,5,36,917,2.2
414,5,37,1851,8.7
415,5,38,3233,5.6
416,5,39,1070,1.2
417,5,4,1119,3.7
418,5,40,1303,3.9
419,5,41,1015,2.4
420,5,42,2538,5.3
421,5,43,726,2.2
422,5,44,2643,5.7
423,5,45,2392,4.5
424,5,46,507,1.7
425,5,47,740,3.3
426,5,48,457,1.3
427,5,49,1516,4.9
428,5,5,1012,5.7
429,5,50,1182,3.4
430,5,51,1693,6.3
431,5,52,939,3.3
432,5,53,625,2.6
433,5,54,2101,7.7
434,5,55,779,2.6
435,5,56,1332,4.0
436,5,57,3297,4.0
437,5,58,570,2.4
438,5,59,7990,5.2
439,5,6,3972,12.2
440,5,60,2358,2.3
441,5,61,753,2.8
442,5,62,3682,3.2
443,5,63,1719,6.0
444,5,64,2910,7.3
445,5,65,1036,4.4
446,5,66,806,3.8
447,5,67,3920,7.2
448,5,68,3165,4.8
449,5,69,5297,7.8
450,5,7,1295,3.4
451,5,70,745,3.4
452,5,71,1646,3.1
453,5,72,1360,3.5
454,5,73,1636,4.4
455,5,74,3194,4.9
456,5,75,10190,22.7
457,5,76,4267,5.3
458,5,77,4068,3.3
459,5,78,5326,6.6
460,5,79,812,2.4
461,5,8,1167,2.5
462,5,80,2244,4.4
463,5,81,582,5.2
464,5,82,694,1.6
465,5,83,3742,6.3
466,5,84,2328,4.3
467,5,85,1288,2.7
468,5,86,1280,6.5
469,5,87,1509,6.1
470,5,88,730,3.2
471,5,89,1585,2.1
472,5,9,367,2.6
473,5,90,1041,2.8
474,5,91,4128,5.0
475,5,92,6921,9.0
476,5,93,4312,4.1
477,5,94,5104,7.7
478,5,95,4413,5.4
479,5,97,7427,3.14
480,6,1,3715,7.4
481,6,10,780,10.100000000000003
482,6,11,340,15.7
483,6,12,226,11.1
484,6,13,2384,18.3
485,6,14,756,16.8
486,6,15,278,8.9
487,6,16,687,10.4
488,6,17,1015,13.6
