,User,Contribs,Location,Average note
15,ornicar (Thibault Duplessis),6931,France,9.033333333333333
221,balupton (Benjamin Lupton),1578,Australia,8.966666666666667
253,amueller (Andreas Mueller),1398,NYC,8.966666666666667
89,mattdesl (Matt DesLauriers),3040,Toronto,8.8
245,juliangruber (Julian Gruber),1439,"Munich, Germany",8.8
204,jamesmontemagno (James Montemagno),1685,"Seattle, WA",7.933333333333334
231,AllenDowney (Allen Downey),1532,"Needham, MA, USA",7.9
64,suissa (Jean Carlo Nascimento),3677,Curitiba - PR,7.8
74,Raynos (Jake Verbaten),3392,San Francisco,7.666666666666667
209,jennschiffer (santa claus),1658,"Jersey City, NJ",7.5
43,josegonzalez (Jose Diaz-Gonzalez),4450,"New York, NY",7.433333333333334
134,ddollar (David Dollar),2367,"Atlanta, GA",7.3
49,parkr (Parker Moore),4135,"San Francisco, CA",7.3
230,cyanogen (Steve Kondik),1540,"Seattle, WA",7.125
187,kazuho (Kazuho Oku),1841,Tokyo,6.9
37,nvie (Vincent Driessen),4942,Netherlands,6.9
144,tokuhirom (Tokuhiro Matsuno),2309,"Tokyo, Japan",6.866666666666666
226,ammeep (Amy Palamountain),1553,New Zealand,6.703703703703703
47,pippinsplugins (Pippin Williamson),4181,"Hutchinson, KS",6.5
255,akrabat (Rob Allen),1386,"Worcester, UK",6.433333333333334
127,mathiasbynens (Mathias Bynens),2446,Belgium,6.433333333333334
56,radar (Ryan Bigg),3975,"Melbourne, Australia",6.366666666666666
34,kevinsawicki (Kevin Sawicki),5267,"Redwood City, CA",6.333333333333333
105,staltz (André Staltz),2797,"Helsinki, Finland",6.133333333333334
181,chenglou (Cheng Lou),1900,"Palo Alto, California",6.1
117,dougwilson (Douglas Wilson),2544,,6.068965517241379
186,davecheney (Dave Cheney),1844,"Sydney, Australia",5.7
114,zilongshanren (子龙山人),2613,"Xiamen, Fujian, China",5.7
93,soyjavi (Javi Jiménez),2964,Bilbao ✈︎ Chiang Mai ✈︎ London,5.6
11,c9s (Yo-An Lin),7275,"Taipei, Taiwan",5.533333333333333
2,weierophinney (Matthew Weier O'Phinney),9946,"Sioux Falls, SD, USA",5.533333333333333
190,tylermcginnis (Tyler McGinnis),1797,"Salt Lake City, Utah",5.5
42,steveklabnik (Steve Klabnik),4452,Brooklyn,5.433333333333334
8,michalbe (Michał Budzyński),7605,"Warsaw, Poland",5.4
33,yyx990803 (Evan You),5273,New Jersey / China,5.266666666666667
50,paulcbetts (Paul Betts),4120,San Francisco,5.166666666666667
17,KrauseFx (Felix Krause),6710,San Francisco,5.166666666666667
194,aaronpk (Aaron Parecki),1747,"Portland, OR",5.0
196,purcell (Steve Purcell),1735,"Wellington, New Zealand",4.966666666666667
140,samdark (Alexander Makarov),2315,Russia,4.933333333333334
203,swankjesse (Jesse Wilson),1695,"Waterloo, Canada",4.833333333333333
168,QuincyLarson (Quincy Larson),1978,"San Francisco, California, US",4.76
83,dominictarr (Dominic Tarr),3197,New Zealand,4.7
41,frsyuki (Sadayuki Furuhashi),4478,"Mountain View, CA",4.566666666666666
10,Ocramius (Marco Pivetta),7473,Frankfurt am Main,4.333333333333333
29,alex (Alex Gaynor),5692,Washington D.C.,4.333333333333333
9,andrew (Andrew Nesbitt),7502,"Somerset, UK",4.266666666666667
95,brianleroux (Brian LeRoux),2944,"San Francisco, USA || Vancouver, Canada",4.233333333333333
119,arunoda (Arunoda Susiripala),2525,"Colombo, Sri Lanka",3.7333333333333334
96,Seldaek (Jordi Boggiano),2924,"London & Zürich, Zurich, Switzerland",3.6666666666666665
