product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Le p'tit-beurre tablette,oeufs,fruit a coque,,,,,,,,,,,,
Sablé noix de pécan et érable,sésame,soja,fruits à coque,,,,,,,,,,,
Frucci citron,Sulfites,,,,,,,,,,,,,
Petits Dej',fruit à coque,soja,sésame,arachide,,,,,,,,,,
Apérivrais saveurs provençales - poivrons - thym - ciboulette,lait de chèvre,,,,,,,,,,,,,
Mayonnaise by Quick,sulfites,,,,,,,,,,,,,
Cocktail de noix nobles,fruits à coque,arachide,,,,,,,,,,,,
KFC Mayonnaise,froment,orge,soja,lait,céleri,,,,,,,,,
Biscottes au froment,Fruits à coque,Lait,Oeufs,Sésame,Soja,,,,,,,,,
Corn Flakes,arachides,fruits à coques,produits laitiers,produits à base de soja,,,,,,,,,,
Quick - Sauce Fromagère à la Tomate et au Basilic,oeufs,lait,moutarde,sulfites,,,,,,,,,,
Mantecados de aceite de oliva &quot;La Muralla&quot;,Frutos secos,Soja,Sulfitos,,,,,,,,,,,
Rotwein Martue Crianza 2008,Sulfites,,,,,,,,,,,,,
Múrice Crianza 2007 Vin Rouge,contient sulfites,,,,,,,,,,,,,
Múrice Crianza 2007 Rot Wein,sulfites,,,,,,,,,,,,,
"CERELAC, Céréale infantile lactée",gluten,soja,,,,,,,,,,,,
Blédine Multicéréales,lait,gluten,,,,,,,,,,,,
Le Chevalier Gigandet 2010,Sulfites,,,,,,,,,,,,,
"Moulin à Vent 2000, Clos des Thorins",Sulfites,,,,,,,,,,,,,
Meursault-Charmes 1er Cru 2000,Sulfites,,,,,,,,,,,,,
Milka Tuc,Oeuf,sésame,fruits à coque,lait,blé,gluten,soja,,,,,,,
Super galettes bretonnes pur beurre - 360 g,Fruits à coque,Soja,,,,,,,,,,,,
Sauce salade,sulfites,,,,,,,,,,,,,
Palets Bretons,Fruits à coque,Sésame,,,,,,,,,,,,
Quick - Heinz - Tomato Ketchup,céleri,,,,,,,,,,,,,
Pizza géante Chorizo,gluten,lait,céleri,arachide,,,,,,,,,,
Domaine de Clarmon Cuvée Clara 2011,sulfites,,,,,,,,,,,,,
Mini tabletas de chocolate negro &quot;Moser-Roth&quot; 85% cacao,Leche,Avellanas,Almendras,Cacahuetes,Otros frutos de cáscara,,,,,,,,,
Mantecados de aceite de oliva &quot;Nuestra Señora del Carmen D. Sancho Melero&quot;,Frutos de cáscara,,,,,,,,,,,,,
Flan nappé caramel ,Lait,,,,,,,,,,,,,
Crème dessert parfum vanille 500 g,gluten,,,,,,,,,,,,,
Pâté Lorrain Cuisiné au vin rouge,moutarde,fruits à coque,,,,,,,,,,,,
Pâté Lorrain,Moutarde,Fruits à coque,,,,,,,,,,,,
