;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Etienne;Toulon;Grenoble;Dijon;Nîmes;Angers;Villeurbanne;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Limoges;Tours;Amiens;Perpignan;Metz
Rennes;348877.0;1046182.0;738165.0;699146.0;1203232.0;106743.0;830143.0;912033.0;460067.0;564379.0;0.0;482642.0;277417.0;717322.0;1110115.0;846156.0;617018.0;983357.0;126784.0;743359.0;152859.0;1031809.0;588835.0;242232.0;438338.0;252373.0;433916.0;901044.0;669090.0
Reims;143303.0;798628.0;489319.0;812975.0;955678.0;518343.0;351821.0;788992.0;718078.0;204598.0;488267.0;0.0;350970.0;547194.0;862561.0;599123.0;298942.0;735803.0;429749.0;494623.0;342264.0;784255.0;558194.0;724991.0;525871.0;373160.0;178344.0;935893.0;190767.0
Le Havre;197232.0;965070.0;655761.0;848421.0;1122120.0;384038.0;699995.0;916838.0;654466.0;317923.0;278773.0;352357.0;0.0;713636.0;1029003.0;765565.0;505087.0;902245.0;297726.0;661065.0;211325.0;950697.0;593640.0;466560.0;561316.0;309547.0;181575.0;1017299.0;538942.0
Saint-Etienne;523988.0;331984.0;62746.0;536714.0;489034.0;663852.0;547441.0;322348.0;534680.0;748903.0;721448.0;547080.0;731654.0;0.0;395918.0;152447.0;253686.0;269159.0;575258.0;66694.0;565975.0;317612.0;143596.0;949676.0;388927.0;467318.0;667362.0;469250.0;515151.0
Toulon;839301.0;65124.0;378059.0;467265.0;149101.0;1049809.0;862754.0;234744.0;709522.0;1064216.0;1115949.0;862393.0;1029582.0;396990.0;0.0;369986.0;568999.0;185922.0;969760.0;382007.0;960476.0;83459.0;538098.0;1344178.0;754703.0;861820.0;982674.0;381645.0;830464.0
Grenoble;574835.0;306221.0;114319.0;529106.0;463271.0;790392.0;573274.0;296585.0;661220.0;799751.0;883823.0;597927.0;765117.0;153586.0;370155.0;0.0;304534.0;243396.0;701798.0;103557.0;692514.0;291849.0;270136.0;1076216.0;515467.0;593858.0;718209.0;443487.0;565999.0
Dijon;314572.0;503910.0;194602.0;672736.0;660960.0;639005.0;330549.0;494274.0;670701.0;500777.0;623560.0;298954.0;504854.0;252476.0;567843.0;304405.0;0.0;441085.0;550411.0;199905.0;477557.0;489537.0;332687.0;860285.0;433749.0;421440.0;474524.0;641175.0;267025.0
Nîmes;712916.0;122674.0;251674.0;289961.0;279724.0;872505.0;736369.0;57440.0;532218.0;937832.0;989565.0;736008.0;903198.0;270606.0;186607.0;243602.0;442614.0;0.0;843376.0;255622.0;834092.0;108301.0;411714.0;1169363.0;577400.0;735435.0;856290.0;204341.0;704080.0
Angers;295715.0;904275.0;596257.0;636811.0;1061325.0;91416.0;776982.0;770126.0;397733.0;511217.0;138633.0;429480.0;328540.0;575415.0;968208.0;704249.0;549244.0;841450.0;0.0;601452.0;95403.0;889902.0;446928.0;377240.0;348281.0;126827.0;416974.0;838710.0;615928.0
Villeurbanne;472461.0;319769.0;8036.0;542654.0;476819.0;688110.0;483467.0;310133.0;558938.0;697376.0;745705.0;495553.0;662742.0;68336.0;383703.0;105751.0;202159.0;256944.0;599516.0;0.0;590232.0;305397.0;167854.0;973934.0;413185.0;491576.0;615834.0;457035.0;463624.0
Le Mans;209108.0;895403.0;587386.0;685591.0;1052454.0;185486.0;690375.0;761254.0;446512.0;424610.0;160443.0;342873.0;241893.0;566544.0;959337.0;695378.0;477249.0;832578.0;96892.0;592581.0;0.0;881031.0;438057.0;397168.0;339410.0;101594.0;330327.0;861715.0;529321.0
Aix-en-Provence;759066.0;32842.0;297824.0;387030.0;179343.0;969574.0;782519.0;154509.0;629287.0;983982.0;1035715.0;782158.0;949347.0;316755.0;86226.0;289752.0;488764.0;105687.0;889525.0;301772.0;880242.0;0.0;457863.0;1263944.0;674469.0;781585.0;902440.0;301410.0;750229.0
Clermont-Ferrand;423755.0;474622.0;166604.0;378690.0;631672.0;535953.0;634116.0;334823.0;376655.0;639257.0;593548.0;557520.0;603755.0;145762.0;538555.0;274596.0;337003.0;411797.0;447359.0;171799.0;438075.0;460249.0;0.0;821777.0;230902.0;339419.0;569985.0;435284.0;598468.0
Brest;591863.0;1279761.0;971743.0;882585.0;1436811.0;295294.0;1073130.0;1121617.0;643506.0;759808.0;243174.0;725629.0;466962.0;950901.0;1343694.0;1079735.0;860005.0;1169507.0;377380.0;976938.0;395846.0;1265388.0;822414.0;0.0;621777.0;495360.0;623461.0;1084483.0;912077.0
Limoges;393566.0;690956.0;411231.0;291086.0;848006.0;319328.0;729788.0;423424.0;221112.0;609068.0;438131.0;527331.0;573566.0;390388.0;754889.0;519222.0;432674.0;578008.0;350519.0;416425.0;341236.0;676583.0;230765.0;616186.0;0.0;242579.0;539796.0;492984.0;733497.0
Tours;239845.0;797820.0;489802.0;588008.0;954870.0;216548.0;695648.0;663671.0;348929.0;455347.0;258773.0;373610.0;340565.0;468960.0;861753.0;597794.0;421611.0;734995.0;127954.0;494997.0;103299.0;783447.0;340473.0;495497.0;241826.0;0.0;386074.0;764132.0;579776.0
Amiens;151455.0;916895.0;607586.0;820023.0;1073945.0;505486.0;526714.0;888440.0;725126.0;144641.0;435101.0;179076.0;180318.0;665461.0;980828.0;717390.0;473835.0;854069.0;416892.0;612889.0;330491.0;902522.0;565242.0;622888.0;532918.0;380208.0;0.0;988901.0;365661.0
Perpignan;848614.0;317555.0;451627.0;206757.0;474605.0;789302.0;936322.0;156717.0;449015.0;1064116.0;908105.0;935961.0;1028614.0;470558.0;381488.0;443555.0;642567.0;204607.0;846791.0;455575.0;862934.0;303182.0;433017.0;1086159.0;494196.0;764278.0;994844.0;0.0;904032.0
Metz;330786.0;769464.0;460155.0;938289.0;926514.0;705826.0;166749.0;759828.0;924418.0;364907.0;675750.0;190984.0;539179.0;518030.0;833397.0;569959.0;269778.0;706639.0;617232.0;465459.0;529747.0;755091.0;598240.0;912474.0;732210.0;579500.0;366553.0;906729.0;0.0
