id,sku,old_price,price,brand,title
147,DEL3663369018696,609.9,434.9,dell,"Ordinateur portable - Dell Latitude E6520 - 15,6''"
148,DEL3663369019976,489.9,429.9,dell,"Ordinateur portable - Dell 780 - 2,93GHz - 4Go - 2"
149,DEL3663369020231,679.9,469.9,dell,Ordinateur portable - Dell 990 - Core i5 - 8Go - 7
150,DEL3663369020026,559.9,489.9,dell,"Ordinateur portable - Dell 780 - 2,93GHz - 8Go - 2"
151,DEL3663369021139,450.0,450.0,dell,Ordinateur portable - Dell E6330 - Core i5-3320M 2
152,DEL3663369020248,759.9,579.9,dell,Ordinateur portable - Dell 990 - Core i5 - 8Go -75
153,DEL5397063875436,610.87,610.87,dell,PC portable DELL Vostro 3559-Y1KVM
154,DEL3663369019266,579.9,579.9,dell,Ordinateur portable - Dell Optiplex 790 -Core i5 -
155,AUC5397063845705,1023.01,1023.01,dell,Dell Latitude E5470-5705 Ordinateur Portable 14 No
156,DEL5397063690640,1559.35,1247.48,dell,PC portable Dell Latitude 3550 15.6 FHD GT830M Cor
157,DEL5397063636785,1691.03,1352.82,dell,PC portable Dell Latitude E5550 15.6FHD Core i5-53
158,AUC5397063845200,2042.27,2042.27,dell,Dell Precision M7510 PC portable Tactile 15.6 Full
159,AUC5397063845255,2536.24,2536.24,dell,Dell Precision M7510 PC portable Tactile 15.6 Full
160,HEX4896200488931,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
161,HEX4896200489662,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
162,HEX4896200489716,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
163,HEX4896200488924,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
164,HEX4896200489693,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
165,HEX4896200489006,11.96,11.96,dell,Clavier pour pc portable Dell Latitude D610 D810 P
166,HEX4896200489686,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
167,HEX4896200489679,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
168,HEX4896200489723,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
